year,source_type_primary,policy_docs,citations,citations_per_doc_mean,citations_per_doc_median,citations_per_doc_p95
2012,other,1051,47567.0,45.258801141769744,26.0,148.5
2012,think tank,11100,162223.0,14.614684684684685,7.0,47.0
2013,government,29048,482971.0,16.626652437345083,5.0,62.0
2013,igo,12113,267922.0,22.118550317840338,8.0,80.0
2013,other,1543,63714.0,41.292287751134154,25.0,133.0
2013,think tank,13305,203790.0,15.316798196166854,6.0,51.0
2014,government,32805,557378.0,16.99064167047706,4.0,62.0
2014,igo,14748,322159.0,21.844250067805802,8.0,72.0
2014,other,2209,95999.0,43.458125848800364,29.0,132.0
2014,think tank,14938,248800.0,16.655509439014594,7.0,56.0
2015,government,36843,576534.0,15.648399967429363,4.0,60.0
2015,igo,12725,270948.0,21.292573673870333,6.0,78.0
2015,other,2578,102074.0,39.59425911559348,24.0,130.0
2015,think tank,16168,246075.0,15.21987877288471,6.0,52.0
2016,government,42294,673279.0,15.91901924622878,4.0,59.0
2016,igo,14521,351681.0,24.218786584945942,6.0,89.0
2016,other,2803,114016.0,40.67641812343917,24.0,127.90000000000009
2016,think tank,17701,255210.0,14.417829501158126,5.0,50.0
2017,government,47670,755195.0,15.842143906020558,4.0,56.0
2017,igo,13611,297892.0,21.886121519359342,7.0,79.5
2017,other,2525,121121.0,47.96871287128713,28.0,157.0
2017,think tank,19039,262188.0,13.771101423394086,5.0,50.0
2018,government,50555,781888.0,15.466086440510335,3.0,56.0
2018,igo,18427,386887.0,20.995658544527053,7.0,67.0
2018,other,3127,136328.0,43.59705788295491,19.0,164.69999999999982
2018,think tank,18958,260582.0,13.745226289693006,4.0,51.0
2019,government,53616,825264.0,15.39212175470009,3.0,58.0
2019,igo,14994,449674.0,29.990262771775377,9.0,112.0
2019,other,2766,129985.0,46.993853940708604,22.0,162.0
2019,think tank,20348,278198.0,13.672007076862592,4.0,50.0
2020,government,56094,878961.0,15.669429885549256,4.0,58.0
2020,igo,14777,325031.0,21.995736617716723,7.0,85.19999999999891
2020,other,3021,131127.0,43.405163853028796,22.0,154.0
2020,think tank,22883,319362.0,13.956299436262729,5.0,53.0
2021,government,59004,924862.0,15.674564436309403,4.0,60.0
2021,igo,16103,420123.0,26.089734832018877,8.0,97.0
2021,other,1993,112121.0,56.25740090316106,30.0,175.0
2021,think tank,24776,397145.0,16.029423635776556,5.0,60.0
2022,government,55109,906871.0,16.45595093360431,4.0,62.0
2022,igo,15185,407111.0,26.810075732630885,8.0,102.0
2022,other,1455,72075.0,49.5360824742268,21.0,189.29999999999995
2022,think tank,21312,371960.0,17.45307807807808,6.0,61.0
2023,government,48694,773298.0,15.880765597404197,3.0,63.0
2023,igo,13025,325892.0,25.0204990403071,8.0,100.0
2023,other,1505,88827.0,59.02126245847176,26.0,205.79999999999995
2023,think tank,18536,317811.0,17.145608545533015,6.0,62.0
2024,government,34430,496557.0,14.422218995062446,3.0,57.0
2024,igo,9711,259114.0,26.682524971681598,9.0,104.0
2024,other,862,46430.0,53.8631090487239,30.0,163.6999999999996
2024,think tank,13234,221228.0,16.716638960253892,5.0,62.0
2025,government,1487,29656.0,19.94351042367182,3.0,62.0
2025,igo,517,9948.0,19.241779497098648,8.0,68.0
2025,other,2,44.0,22.0,22.0,40.9
2025,think tank,846,11401.0,13.476359338061465,4.0,54.5
