country,citations,share
US,13687.72599259193,0.5565926314489236
GB,2150.4971315544635,0.08744702063900714
KR,1123.3938271171555,0.04568127143449722
FR,901.0519261698056,0.03664004254106236
DE,835.080041435997,0.0339573862002276
CA,656.6769274911252,0.026702867903835605
NL,501.7117741245525,0.020401422174876078
AU,441.2706342792708,0.017943666000295656
IT,369.8831961337423,0.015040793596850288
ES,308.83031220542443,0.012558161686947969
JP,291.47147496961713,0.011852288344568036
SE,290.33692699735116,0.011806153505097233
CH,285.0644704666945,0.011591756281176582
CN,277.550932606699,0.011286228554273707
BE,198.4172586930327,0.008068366082182527
HK,156.3174012489994,0.00635643303712587
NO,151.5421805968338,0.006162255229214126
DK,135.60141043167357,0.005514045642146778
IL,133.12106782106784,0.005413185906842382
IN,114.4148536153912,0.004652523325284288
SG,114.25258458646616,0.004645924877458773
FI,99.8895908088692,0.00406187340634634
AT,91.77659609744046,0.003731969587566707
IE,83.94557146070304,0.003413531695701978
TW,82.97948498869552,0.003374247112422557
CL,82.54697583118634,0.0033566597198758275
RU,67.63068721640704,0.0027501092719749124
NZ,58.97977849463917,0.0023983319166655487
BR,51.17585470085471,0.0020809960434635126
TR,47.913888888888884,0.0019483526711487021
PT,46.39149184149185,0.0018864464802168122
AR,43.07420357420357,0.001751553496023242
ZA,39.843094207446605,0.001620164858793372
MX,38.461568802508864,0.0015639870202711803
GR,36.509362477560565,0.0014846032237134257
MY,32.55625,0.0013238553188028627
PH,30.89527417027417,0.0012563140114782926
ID,30.858333333333334,0.0012548118629364564
CZ,23.765608465608462,0.0009663959200393812
ET,21.942559523809525,0.0008922641315797627
TH,21.348557063851178,0.0008681098350622633
PK,21.270378151260505,0.0008649307966517772
HU,18.881074846206428,0.0007677730500246596
VN,18.391671237259473,0.0007478721225300697
IS,16.73856209150327,0.0006806507031352989
IR,16.342902711323763,0.0006645617563160281
PL,15.554761904761905,0.0006325130898162779
SI,15.420454545454545,0.0006270516649908321
BD,15.167316017316018,0.000616758133430222
CY,13.916666666666668,0.0005659021904142269
LV,13.541666666666666,0.0005506533289958794
