source_type_primary,top_docs,top_docs_share,top_citations,top_citations_share
igo,231,0.00421994884910486,102567.0,0.09362531435274143
government,274,0.005005480453050786,98269.0,0.08970200957549258
other,22,0.000401899890390939,8677.0,0.007920548057745058
think tank,21,0.00038363171355498723,7082.0,0.006464598518491472
